row_id,actual,predicted,residual,absolute_error
667,22,4277.6061930328215,-4255.6061930328215,4255.6061930328215
668,1096,4549.218251294906,-3453.2182512949057,3453.2182512949057
691,2425,5501.401048590666,-3076.4010485906656,3076.4010485906656
723,920,3730.7545490883313,-2810.7545490883313,2810.7545490883313
694,2424,5098.585865933521,-2674.585865933521,2674.585865933521
693,2277,4938.449593941565,-2661.4495939415647,2661.4495939415647
722,1787,4289.863958388224,-2502.863958388224,2502.863958388224
728,1341,3801.160933656091,-2460.160933656091,2460.160933656091
724,1013,3392.4221266541035,-2379.4221266541035,2379.4221266541035
721,1749,3955.2413611577995,-2206.2413611577995,2206.2413611577995
725,441,2621.108113204231,-2180.108113204231,2180.108113204231
623,8714,6580.618652396505,2133.3813476034948,2133.3813476034948
665,7852,5809.393530033416,2042.606469966584,2042.606469966584
692,3910,5949.261766652602,-2039.261766652602,2039.261766652602
637,8555,6551.796456542361,2003.2035434576392,2003.2035434576392
729,1796,3742.412734540292,-1946.4127345402921,1946.4127345402921
617,8227,6301.107568819461,1925.8924311805386,1925.8924311805386
630,8395,6521.942483461623,1873.057516538377,1873.057516538377
656,7509,5756.374715816513,1752.6252841834867,1752.6252841834867
645,3510,5227.377021249333,-1717.3770212493328,1717.3770212493328
708,3228,4897.741249591876,-1669.741249591876,1669.741249591876
631,7907,6301.281541087483,1605.7184589125172,1605.7184589125172
658,8090,6502.76328140849,1587.23671859151,1587.23671859151
629,8167,6598.725411195508,1568.274588804492,1568.274588804492
644,7965,6421.918603034391,1543.0813969656092,1543.0813969656092
596,4549,6058.8203191499015,-1509.8203191499015,1509.8203191499015
594,7148,5644.226539370348,1503.7734606296517,1503.7734606296517
664,7444,6048.903020861453,1395.0969791385469,1395.0969791385469
649,7570,6204.122023493947,1365.8779765060526,1365.8779765060526
654,7534,6186.275399540944,1347.724600459056,1347.724600459056
